state_name,crop_name,seed_cost,fertilizer_cost,manure_cost,pesticide_cost,irrigation_cost,misc_cost,machinery_cost,revenue,total_cost,yield_per_acre
Madhya Pradesh,chickpea,2259.28,590.97,6.18,506.2,584.05,10.74,7916.31,22198.09,11873.73,4.617470306145161
Jharkhand,chickpea,2080.86,0.0,0.0,0.0,0.0,0.0,4970.77,19232.74,7051.630000000001,2.7923352421035594
Bihar,chickpea,1195.01,389.33,0.68,5.94,26.94,0.0,3566.95,11307.37,5184.85,3.310333663827118
Madhya Pradesh,chickpea,1200.37,361.3,0.0,54.01,288.87,0.02,4350.11,11252.3,6254.679999999999,3.7959571841929547
Madhya Pradesh,chickpea,1607.97,517.96,5.66,66.49,525.25,0.0,5308.14,15043.28,8031.47,4.516298739402279
Uttar Pradesh,chickpea,1871.53,383.67,65.95,5.51,460.47,0.0,7188.14,23511.76,9975.27,5.406608526739645
Rajasthan,chickpea,1212.1,162.89,0.0,61.11,1228.1,0.0,4984.22,16155.9,7648.42,2.9056473968555876
Maharashtra,chickpea,1445.02,186.87,1.5,94.32,1113.55,0.0,4268.55,14864.95,7109.8099999999995,3.20511523441452
Madhya Pradesh,chickpea,1783.05,456.65,5.6,138.86,1027.15,0.0,6392.46,17724.98,9803.77,3.8526132615689686
Karnataka,chickpea,1276.77,721.98,0.0,343.87,11.88,0.0,3246.11,12904.68,5600.610000000001,3.0472875902956233
Karnataka,chickpea,1632.76,1110.94,0.0,2040.67,58.9,0.0,4468.85,16026.51,9312.119999999999,3.2820056251391105
Jharkhand,chickpea,1661.23,0.0,0.0,0.0,0.0,0.0,2206.67,12406.32,3867.9,2.2621962323708544
Bihar,chickpea,1786.98,797.68,0.0,175.19,22.46,0.0,4829.98,11810.65,7612.289999999999,3.5410048360008903
Andhra Pradesh,chickpea,1434.85,524.85,8.98,1237.44,10.04,0.0,5802.71,17466.47,9018.869999999999,4.204690313834201
Andhra Pradesh,chickpea,2140.1,1316.12,35.45,1015.63,3.63,1.11,10040.03,26068.83,14552.07,5.030250298456122
Bihar,chickpea,2127.4,660.08,0.0,19.69,1506.04,0.0,6765.02,31477.46,11078.23,5.7020295016288625
Chhattisgarh,chickpea,1464.26,306.96,0.0,62.88,192.77,0.0,3051.74,8129.58,5078.61,2.2864774083891466
Chhattisgarh,chickpea,2066.03,717.03,0.0,393.63,1.8,6.93,5953.79,16794.02,9139.210000000001,3.5086299346431677
Haryana,chickpea,1016.28,0.0,0.0,0.0,361.67,0.0,5783.74,11807.59,7161.69,1.707776046619858
Madhya Pradesh,chickpea,1319.63,445.15,0.0,127.83,749.79,0.0,4912.95,11600.29,7555.35,3.2496307237813884
Chhattisgarh,chickpea,2031.51,844.41,0.0,41.68,175.43,0.0,7805.02,25510.79,10898.05,5.778919892353453
Bihar,chickpea,4943.41,2516.51,416.32,448.48,362.35,0.0,17209.43,81416.48,25896.5,6.361668116792457
West Bengal,chickpea,4291.96,2809.99,0.0,649.2,196.78,0.0,8807.86,24703.29,16755.79,2.942069160883025
Gujarat,chickpea,3527.95,2169.29,0.0,2175.01,2949.06,80.59,14187.1,55245.2,25089.0,5.366139900042492
Rajasthan,chickpea,3644.12,942.86,0.0,222.35,3035.74,33.73,13361.97,50954.6,21240.769999999997,4.9655004957406765
Maharashtra,chickpea,4478.35,2536.08,0.0,1050.19,2370.36,63.22,12479.25,47772.3,22977.45,4.775297950264058
Madhya Pradesh,chickpea,4951.26,1983.98,0.0,1255.64,2423.36,76.92,14750.86,53728.12,25442.02,5.799154205702029
Karnataka,chickpea,3307.27,2576.83,0.0,1871.8,40.28,115.16,10492.66,37226.1,18404.0,2.0072438841787905
Haryana,chickpea,2102.24,674.83,0.0,899.37,1164.48,0.0,21565.18,60494.6,26406.1,5.900325772444912
Andhra Pradesh,chickpea,4954.78,3624.7,352.63,2431.46,0.0,38.66,14037.19,46202.11,25439.42,3.9983003176787197
Chhattisgarh,chickpea,5039.84,3601.45,0.0,1181.2,2978.35,18.85,9224.78,34963.57,22044.47,4.742923048906336
Telangana,chickpea,3606.23,2187.88,0.0,3277.85,14.17,104.6,20634.77,65621.68,29825.5,5.515873818821959
Bihar,chickpea,5042.26,2007.22,111.94,354.75,74.0,15.04,15955.02,59041.64,23560.23,5.188077942575019
Haryana,chickpea,697.53,112.1,0.0,16.51,91.78,0.0,3385.0,10111.68,4302.92,4.123753060439894
Rajasthan,chickpea,806.76,64.67,0.0,5.01,73.93,0.0,2231.76,7838.39,3182.13,3.018959551607616
